wrestler_id,name,birthplace,gender,age,height,weight,career_start,career_end,promotion,rating,votes
7040,Jake Omen,"Noblesville, Indiana, USA",male,36.0,185.0,98.0,2005-11-01,,,,
13749,Charlie Morgan,"Cambridge, Cambrigeshire, England, UK",female,31.0,167.0,57.0,2011-05-01,,,7.53,17.0
6809,Gabby Gilbert,"Philadelphia, Pennsylvania, USA",female,39.0,155.0,57.0,2001-01-01,,,,
20183,Aiden Aggro,"Waterville, Maine, USA",male,34.0,180.0,94.0,,,,,
10928,Evil Kip,"New York, USA",male,40.0,,,2008-08-02,,,7.5,4.0
23138,Exodus Prime,"Dallas, Texas, USA",male,33.0,,,2018-06-22,,,,
4197,Yoshihiro Momota,"Tokyo, Japan",male,,180.0,90.0,1979-01-01,1987-01-01,,,
13472,Brian Tannen,"Sacramento, California, USA",male,,188.0,124.0,2012-02-26,,,,
2421,El Terrible,"Monterrey, Nuevo Leon, Mexiko",male,47.0,185.0,105.0,1995-02-22,,78,7.32,19.0
19029,Theo Storm,"South Bend, Indiana, USA",male,,,,,,,,
3776,Tetsuya Naito,"Tokyo, Japan",male,41.0,180.0,102.0,2006-05-27,,7,9.46,646.0
7714,Shogun,Mexiko,male,,172.0,91.0,,,,,
392,Mohammed Yone,"Nagoya, Aichi, Japan",male,47.0,185.0,110.0,1995-08-18,,8,6.22,74.0
160,Dirty White Boy,"Knoxville, Tennessee, USA",male,,182.0,136.0,1980-01-01,2006-01-01,,4.05,38.0
9813,Police Man,Mexiko,male,,170.0,75.0,1990-01-01,,,5.0,1.0
21538,Mataro Aoki,Japan,male,32.0,171.0,70.0,2015-09-20,,1772,,
16905,Jimmy Konway,"Allentown, Pennsylvania, USA",male,34.0,188.0,93.0,,,,0.0,1.0
10846,La Venus,"Tulancingo, Hidalgo, Mexiko",female,,,,1979-01-01,,,,
6408,Floyd Mayweather,"Grand Rapids, Michigan, USA",male,,173.0,66.0,,,,,
26536,Mascara Dorada 2.0,"Distrito Federal, Mexiko",male,21.0,,,2021-01-01,,,8.0,2.0
18084,Holidead,"California, USA",female,,,,2013-01-01,,,7.7,10.0
1550,Butcher Vachon,"Montreal, Quebec, Canada",male,,194.0,122.0,1955-01-01,1986-01-01,,8.0,2.0
5138,Sexy Chino,"California, USA",male,,180.0,,,,,,
4853,Dandy Takuya,"Chiba, Japan",male,40.0,175.0,85.0,2006-11-19,,,4.0,1.0
27129,Kale Dixon,"Hartland, Michigan, USA",male,25.0,190.0,100.0,2022-11-12,,1,,
3361,Larry Sharpe,"Westville, New Jersey, USA",male,,180.0,120.0,1974-07-04,1991-08-17,,7.0,3.0
229,Mike von Erich,"Denton, Texas, USA",male,,188.0,108.0,1983-01-01,1987-01-01,,3.14,7.0
16455,El Canalla,"Mexico City, Distrito Federal, Mexiko",male,,172.0,102.0,1984-01-01,,,,
15079,Mini Headhunter A,"Mexico City, Distrito Federal, Mexiko",male,63.0,,,,,,,
22511,Mad Dog Debbie,"Utica, New York, USA",female,,160.0,57.0,1984-01-01,1991-01-01,,,
7577,Septiembre Negro,"Villamar, Michoacan, Mexiko",male,,170.0,78.0,,,,,
26895,Luca Crusifino,"Pittsburgh, Pennsylvania, USA",male,24.0,,,2023-02-21,,1,,
5011,Tiger Conway Jr.,"Houston, Texas, USA",male,,183.0,104.0,1971-01-01,1996-01-01,,5.0,1.0
8054,Dan Champion,"Philipsburg, New Jersey, USA",male,,198.0,127.0,2004-01-01,,,,
142,Tom Brandi,"King Of Prussia, Pennsylvania, USA",male,57.0,188.0,116.0,1985-09-14,,,3.66,62.0
6233,Carter Mason,"Oakville, Ontario, Canada",male,34.0,172.0,77.0,2006-01-01,,,3.71,14.0
8121,David Deville,"Sheffield, South Yorkshire, England, UK",male,,180.0,,2001-01-01,,,,
8848,Paul Zine,"West Roxbury, Massachusetts, USA",male,,183.0,118.0,,,,,
1593,Layla,"London, England, UK",female,,156.0,52.0,2006-01-01,2015-07-26,,5.52,324.0
12880,"Wise Guy, Nick Ruiz","Fresno, California, USA",male,37.0,,87.0,,,,,
20516,Fugaz,"Guadalajara, Jalisco, Mexiko",male,27.0,169.0,,2013-01-01,,,7.0,2.0
19720,Jake Constantinou,"Leicester, Leicestershire, England, UK",male,33.0,183.0,84.0,,,,,
6458,Rico Suave,"Humacao, Puerto Rico, USA",male,53.0,190.0,106.0,1991-01-01,,52,,
10906,Chuck Karbo,"Seattle, Washington, USA",male,,183.0,109.0,,,,,
23706,Juan Mattioli,"San Diego, California, USA",male,30.0,,,,,,,
15978,Toni Storm,"Auckland, New Zealand",female,27.0,168.0,65.0,2009-10-09,,2287,8.02,328.0
18946,Terrence Hughes,"New Rochelle, New York, USA",male,28.0,,,2015-01-01,,,3.0,1.0
16009,Yuma Aoyagi,"Matsumoto, Nagano, Japan",male,27.0,186.0,100.0,2014-12-14,,6,8.46,52.0
15416,Lana Austin,"Manchester, England, UK",female,36.0,155.0,51.0,2013-08-01,,,6.33,24.0
1797,Scotty Mathews,"Carthage, North Carolina, USA",male,,,118.0,,,,,
15713,Shotaro Ashino,"Nishitokyo, Tokyo, Japan",male,33.0,174.0,85.0,2015-02-13,,6,8.79,42.0
13869,Joe McCarthy,"Obion County, Tennessee, USA",male,,,,,,,,
6242,Kongo Kong,"Grand Rapids, Michigan, USA",male,43.0,201.0,171.0,1998-01-01,,,7.19,26.0
4671,Super Destroyer #1,"Jim Thorpe, Pennsylvania, USA",male,,190.0,131.0,1984-01-01,,,,
785,Butch Reed,"Warrensburg, Missouri, USA",male,,188.0,120.0,1978-01-01,2013-01-01,,5.53,53.0
8078,Bob Marcus,"Burlington, Ontario, Canada",male,,,107.0,,,,1.0,1.0
3883,Nobutaka Moribe,"Okayama, Japan",male,41.0,173.0,90.0,2003-01-31,,,6.0,1.0
2397,Evil Uno,"Gatineau, Quebec, Canada",male,36.0,180.0,104.0,2004-01-17,,2287,6.43,190.0
2002,Derrick Neikirk,"Phoenix, Arizona, USA",male,,194.0,111.0,2000-01-01,2016-01-01,,6.0,1.0
908,El Dandy,"Tijuana, Baja California, Mexiko",male,60.0,170.0,98.0,1981-03-01,,,7.52,33.0
890,Naohiro Hoshikawa,"Shigeru, Kanagawa, Japan",male,,173.0,90.0,1993-07-26,2004-10-17,,7.17,6.0
22577,Zuka King,"Charleston, South Carolina, USA",male,34.0,,,2015-01-01,,,,
5559,Beast,"Dorchester, New Brunswick, Canada",male,,178.0,114.0,1957-01-01,,,,
7283,CW Bergstrom,"Portland, Oregon, USA",male,,180.0,114.0,,2013-04-21,,,
12132,Veda Scott,"Pennsylvania, USA",diverse,39.0,155.0,52.0,2011-05-01,,,6.82,57.0
700,Tony Mamaluke,"New York City, New York, USA",male,,180.0,79.0,1998-01-01,2018-02-24,,5.86,64.0
20671,Kevin Giza,"Indianapolis, Indiana, USA",male,,,,,,,6.0,1.0
21443,Emi Tomimatsu,"Kawasaki, Kanagawa, Japan",female,,156.0,50.0,2001-07-22,2003-04-13,,,
7684,Panico,"Leon de los Aldamas, Guanajuato, Mexiko",male,,,,1976-07-01,,,,
4375,Rex Atkins,"Ontario, Canada",male,,180.0,114.0,2005-10-01,,,9.0,1.0
17813,Laura James,"Plymouth, Devon, England, UK",female,,160.0,57.0,2012-06-01,2019-01-01,,,
2787,Fuka,"Nara, Japan",female,,157.0,50.0,2004-02-29,2010-03-28,,9.47,19.0
