id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1686202424564887553,WWE,@WWE,2023-08-01T02:29:20.000Z,"With #BecomingCodyRhodes streaming NOW on 
@peacock
 and #SummerSlam THIS SATURDAY, 
@CodyRhodes
 joins 
@TODAYshow
 on 
@nbc
 this Thursday at 9AM ET!",36,336,1424,17,268165
1686200760936136704,WWE,@WWE,2023-08-01T02:22:44.000Z,"It's complete pandemonium between 
@BeckyLynchWWE
, 
@trishstratuscom
 AND 
@ZoeyStarkWWE
 right now on #WWERaw!",99,360,1718,27,200878
1686198803290894336,WWE,@WWE,2023-08-01T02:14:57.000Z,"TOMORROW at 11:15 AM ET

Undisputed WWE Universal Champion 
@WWERomanReigns
 will be on 
@FirstTake
 with 
@stephenasmith
 on 
@espn
 just days before TRIBAL COMBAT at #SummerSlam this Saturday!",101,1072,4713,74,658629
1686197029884637184,WWE,@WWE,2023-08-01T02:07:54.000Z,"CHAD GABLE IS HIM 
@WWEGable
 went the distance with Intercontinental Champion 
@Gunther_AUT
 on #WWERaw in an absolute spectacle!",137,715,5053,57,506758
1686197024180277248,WWE,@WWE,2023-08-01T02:07:53.000Z,"Here you are, 
@WWEGable
 

And you dropped this:



#WWERaw",86,511,5733,28,332961
1686194936335548416,WWE,@WWE,2023-08-01T01:59:35.000Z,"GUNTHER DIDN'T WANT TO HEAR NO BELL!
@WWEGable
 lasted the five minutes but 
@Gunther_AUT
 won't go down without a fight!

#WWERaw",111,627,7816,84,509275
1686192404842287106,WWE,@WWE,2023-08-01T01:49:31.000Z,"Can 
@CodyRhodes
 slay the beast this Saturday at #SummerSlam?

 DETROIT
 https://ticketmaster.com/event/08005E87913B1AA4…",142,448,2319,23,258720
1686188319019806720,WWE,@WWE,2023-08-01T01:33:17.000Z,UP NEXT on #WWERaw!,54,308,2767,14,229886
1686188166556864512,WWE,@WWE,2023-08-01T01:32:41.000Z,"Emerging rivals 
@CiampaWWE
 & 
@ShinsukeN
 clash on #WWERaw!",24,210,1154,9,189724
1686185840429395968,WWE,@WWE,2023-08-01T01:23:26.000Z,Who does MMA RULES favor this Saturday at #SummerSlam?,98,181,768,11,185475
1686185495582187520,WWE,@WWE,2023-08-01T01:22:04.000Z,"Can 
@WWEGable
 last five minutes against Intercontinental Champion 
@Gunther_AUT
 TONIGHT on #WWERaw?",98,184,1280,11,182229
1686185392511332352,WWE,@WWE,2023-08-01T01:21:40.000Z,"THIS FRIDAY on #SmackDown

What will happen just one night before #SummerSlam?",25,287,1255,14,155574
1686184859251675136,WWE SummerSlam,@SummerSlam,2023-08-01T01:19:32.000Z,"THIS SATURDAY at #SummerSlam
@WWEAsuka
 defends the #WomensTitle against 
@MsCharlotteWWE
 & 
@BiancaBelairWWE
!

 DETROIT
 https://ticketmaster.com/event/08005E87913B1AA4…",34,328,1329,23,158838
1686184245356548097,WWE,@WWE,2023-08-01T01:17:06.000Z,"Get ready for MMA RULES between 
@RondaRousey
 & 
@QoSBaszler
 THIS SATURDAY at #SummerSlam!

 DETROIT
 https://ticketmaster.com/event/08005E87913B1AA4…",85,455,1816,33,259053
1686182615009697792,WWE,@WWE,2023-08-01T01:10:37.000Z,"An enraged 
@RaquelWWE
 set out to DESTROY 
@RheaRipley_WWE
!

#WWERaw",132,649,4186,73,324872
1686181803101487105,WWE,@WWE,2023-08-01T01:07:24.000Z,"Define INSANITY.

#WWERaw",73,335,2050,34,238264
1686181074391437312,WWE,@WWE,2023-08-01T01:04:30.000Z,"Congratulations to 16-time World Champion 
@JohnCena
 on Hidden Strike, the NUMBER ONE movie in the world and in  on 
@netflix
!",113,684,4301,37,261206
1686179066355789824,WWE,@WWE,2023-08-01T00:56:31.000Z,"Witness 
@maxxinedupri
's one-on-one in-ring debut on #WWERaw!",88,428,3039,45,293916
1686177046567735296,WWE,@WWE,2023-08-01T00:48:30.000Z,"THIS SATURDAY at #SummerSlam
RHODES/LESNAR 3
@CodyRhodes
 meets 
@BrockLesnar
 one-on-one at 
@SummerSlam
 to settle the score at 
@fordfield
!

 DETROIT
 https://ticketmaster.com/event/08005E87913B1AA4…",120,649,2345,132,245039
1686175420834631680,WWE,@WWE,2023-08-01T00:42:02.000Z,"Welcome 
@CodyRhodes
 to 
@tiktok_us
!",36,263,1327,12,159043
1686175364299591680,WWE,@WWE,2023-08-01T00:41:49.000Z,"zero chill from 
@LoganPaul
 ahead of #SummerSlam!",71,365,2847,34,250389
